IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
104.25.171.55,4,4,0.00,193.07,1189.97,LAX,443
104.25.71.122,4,4,0.00,193.11,829.91,LAX,443
104.25.140.59,4,4,0.00,193.26,492.50,LAX,443
172.64.235.97,4,4,0.00,192.95,477.70,LAX,443
104.27.39.193,4,4,0.00,192.95,477.66,LAX,443
104.27.72.207,4,4,0.00,193.37,476.51,LAX,443
172.66.154.195,4,4,0.00,192.94,472.56,LAX,443
104.25.101.102,4,4,0.00,193.66,471.54,LAX,443
104.27.94.224,4,4,0.00,193.56,471.47,LAX,443
104.24.194.130,4,4,0.00,193.67,463.79,LAX,443
104.27.77.98,4,4,0.00,193.29,451.56,LAX,443
172.66.163.110,4,4,0.00,193.70,409.87,LAX,443
104.27.92.31,4,4,0.00,180.61,13.21,LAX,443
104.27.107.183,4,4,0.00,187.21,13.12,LAX,443
172.66.128.141,4,4,0.00,185.64,12.97,LAX,443
104.27.103.29,4,4,0.00,180.11,12.83,LAX,443
104.25.95.173,4,4,0.00,185.60,12.71,LAX,443
104.24.182.183,4,4,0.00,187.30,12.69,LAX,443
104.27.102.135,4,4,0.00,180.50,12.44,LAX,443
104.25.33.233,4,4,0.00,194.03,12.26,LAX,443
104.24.14.169,4,4,0.00,193.94,12.20,LAX,443
104.25.61.244,4,4,0.00,191.25,12.12,LAX,443
172.66.152.77,4,4,0.00,189.84,12.04,LAX,443
172.66.170.254,4,4,0.00,190.14,12.02,LAX,443
104.26.0.155,4,4,0.00,79.13,11.52,HKG,443
104.26.5.64,4,4,0.00,77.79,11.52,HKG,443
172.67.74.28,4,4,0.00,74.87,11.00,HKG,443
104.26.10.62,4,4,0.00,79.16,11.00,HKG,443
104.26.13.115,4,4,0.00,77.97,10.99,HKG,443
172.64.41.153,4,4,0.00,190.83,10.98,LAX,443
104.26.14.216,4,4,0.00,77.97,10.96,HKG,443
172.66.47.13,4,4,0.00,193.75,10.92,LAX,443
172.67.79.149,4,4,0.00,66.57,10.88,HKG,443
104.26.3.25,4,4,0.00,79.13,10.84,HKG,443
172.67.64.253,4,4,0.00,72.98,10.76,HKG,443
172.67.76.91,4,4,0.00,70.82,10.76,HKG,443
172.67.116.64,4,4,0.00,189.50,10.66,LAX,443
104.25.16.237,4,4,0.00,183.47,10.51,LAX,443
172.67.68.222,4,4,0.00,71.04,10.48,HKG,443
172.67.77.148,4,4,0.00,70.87,10.48,HKG,443
104.26.7.164,4,4,0.00,81.79,10.43,HKG,443
172.67.65.142,4,4,0.00,72.98,10.42,HKG,443

